,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
1637,MASTER,wxTdF73b1-X8xbQ5WWx7_qSOov6GnKWIUlzALZYRhzJ1D9Y,원거리로딜넣음,101,106,72,False,False,False,False,sNum2gqSFHtwStvA-yCiDTPsAzxl-XCkfkagU8TyklX94MaByuDRdoGc
1638,MASTER,PAZRhAq4pn6vJ9iyFSMVjLwFrMvmOjbexmS-lZSqx7BDNzA,Aorlf,308,917,895,False,False,True,False,WAb4gypIkbgqPRRD2yWNZZ9XKTXPl9bYkJhwc7M_mRXizdGzPtQV6jxP
1639,MASTER,KO7Unxl-I93pN1ntXJ_IZiTBwApvfO4FenpmrQrOM_Km8h4,귀여운미드아이번,191,241,191,False,False,False,False,VWDnVkYIei7v60b3v8dVl5-FICYa8lh7bkeCmcFovY-zdT0
1640,MASTER,CXZl6VJ2Sv85xnusyXGLuUOcinbGhdT0w4BTgQ2FChO5nQ,Spoon on table,75,105,62,False,False,True,True,5YiYwNvBh7f25n-zYyykti2AXF1H5h0AwbiwuxHl8Zym
1641,MASTER,gNYZMKlb4bsLRT_PEWajOBECPNHjE8kRi3k5x_QvzTn6HR4,nger,19,379,380,False,False,False,False,i_t18-VnftiYGEYT6L1SWhOFsGV2UwrtYwM0KeU3rOoZy4_kMuTA3Ohj
1642,MASTER,hVCHVWbgpKEwccL9GIOzv6YAD71eQQHCaQ0VCb-l4MtGrzw,홍 쭈,209,364,328,False,False,True,False,T_lneqGLmuVkvxWQxYMfh7Hx3YXhCbbiwmlRTTKSLTvhyzQ
1643,MASTER,yRd3QV5_5GlcN7ILixuw53-iSraBaZ3y9yewiAVbSzCOgtA,iiliilliiIIi,0,739,731,False,False,True,True,lOfgOBPYEKPNfm5OJo0wnxbabBFQJ-w1FoG8MvlN79dPNPM
1644,MASTER,uzUyJtYTsuJJucv-o0ZPxCPwn_Dnghly_oOeUWSqFyBmlQ,뭉 보,0,104,89,False,False,False,False,LAfFhs2e_Y0H_I3iq_-0VviBYQKIy81nXHPx78i9lAbm
1645,MASTER,m5GPJWKBfM0uJ-Pa4FWio2gs7p-jzynoJ9JOc2761IUY5NE1,citrusret1culata,18,92,13,False,False,True,True,1ftWY4QI3_XN1cEA4q1hJl8-xagw0lT0lmZsBJV6XyVmvGYudV00MRQK
1646,MASTER,DJpM-gw56uYTpw4H8Dmrw4EuB8ErVU-Vp80iT0LPhrMTyL-xdVHhMjOAeg,Gimme Revolution,24,152,81,False,False,False,False,lW8SonDjlrat7S9aV5M19bNwYHQVFIGu5QMB0R-CEhp9Hkwcciy2x69M
1647,MASTER,mBLanuFSZAHa7A4VW_7JIGtzT74LVANOb9TTQLYlGiyrTIE,Ijun hoI,0,401,376,False,False,True,False,iNAOzPCGijZqMUn-k_zmBqgzrTjkEbjIeuLIaDAGPQbAM-lllTT2TDX9
1648,MASTER,btGQhAHGB9jOLZ2_OQFBvqKJ6HJU12wTNRfxzrMoMxBqSug,가고싶지않아,33,474,462,False,False,True,True,5v-QysnoqhNLUQ0QTi3btqROSuGqhXf5xeJb3BDXnKcWAz4
1649,MASTER,xihHOdjNbdiRH9Abjbnnwt2I32_9xLxMmM7h2gsTIF_htv4,에코로 마스터감,0,293,202,False,False,True,True,u2VRk0so3CqJcsq1mcQSDkFssSxR7nSFWk6YnMZcRLbwqJIWp2YL9ztM
1650,MASTER,9QgnbQoG2VdSZKQq40rSctzL-voGzDMR7kiQHWQveIJ1rpU,크고 사나운 워웍,0,355,315,False,False,True,False,bQAb5TwH2NQrNFRg2S_i3BYF66Z5_sQMQSa4Kyo6kiTIE7g
